"Reg. Strength, $C$","$\ell_1$ Acc., %","$\ell_2$ Acc., %","Un-norm. Acc., %"
0.01,46.308724832214764,71.81208053691275,71.81208053691275
0.026366508987303583,70.46979865771812,72.93064876957494,72.93064876957494
0.06951927961775606,71.14093959731544,73.37807606263982,73.37807606263982
0.18329807108324356,73.60178970917227,72.93064876957494,72.93064876957494
0.4832930238571752,72.7069351230425,72.93064876957494,72.93064876957494
1.2742749857031335,73.60178970917227,73.15436241610739,73.15436241610739
3.359818286283781,73.15436241610739,73.15436241610739,73.15436241610739
8.858667904100823,73.37807606263982,73.37807606263982,73.37807606263982
23.357214690901213,73.37807606263982,73.37807606263982,73.37807606263982
61.584821106602604,73.37807606263982,73.37807606263982,73.37807606263982
162.3776739188721,73.37807606263982,73.37807606263982,73.37807606263982
428.13323987193957,73.37807606263982,73.37807606263982,73.37807606263982
1128.8378916846884,73.37807606263982,73.37807606263982,73.37807606263982
2976.3514416313133,73.37807606263982,73.37807606263982,73.37807606263982
7847.5997035146065,73.37807606263982,73.37807606263982,73.37807606263982
20691.3808111479,73.37807606263982,73.37807606263982,73.37807606263982
54555.947811685146,73.37807606263982,73.37807606263982,73.37807606263982
143844.988828766,73.37807606263982,73.37807606263982,73.37807606263982
379269.0190732246,73.37807606263982,73.37807606263982,73.37807606263982
1000000.0,73.37807606263982,73.37807606263982,73.37807606263982
