,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,35,47,19905,2859,6434,402,1141,1594,2011,937,3495,1679,611,1304,474,1783,7714,25,3,False,East,6.423284384465086
1,BostonCeltics,bos,44,38,19830,2700,6509,719,2155,1480,1994,849,3320,1575,720,1105,303,1758,7599,68,6,True,East,7.549936157831341
2,NOrleansHornets,nor,47,35,19905,2914,6695,404,1075,1467,1910,1097,3572,1807,656,1151,394,1767,7699,39,0,True,East,8.564677309895043
3,ChicagoBulls,chi,30,52,19930,2991,6714,349,997,1455,2014,985,3526,1782,605,1330,461,2028,7786,47,4,False,East,8.116311452850129
4,ClevelandCavaliers,cle,17,65,19831,2850,6746,293,896,1502,2012,1118,3660,1712,636,1430,521,1864,7495,43,3,False,East,8.849823389213602
5,DallasMavericks,dal,60,22,19780,3161,6982,636,1668,1486,1793,912,3456,1837,665,906,449,1730,8444,54,4,True,West,8.887837634596167
6,DenverNuggets,den,17,65,19730,2689,6544,229,824,1294,1850,1112,3475,1737,712,1425,422,2056,6901,37,3,False,West,6.741228281035248
7,DetroitPistons,det,50,32,19905,2700,6277,533,1488,1559,2021,883,3328,1620,556,1043,468,1748,7492,38,1,True,East,7.561416751040208
8,GSWarriors,gsw,38,44,19755,3061,6941,425,1235,1853,2382,1284,3830,1712,594,1246,506,1786,8400,41,3,False,West,8.00990589804088
9,HoustonRockets,hou,43,39,19930,2840,6461,439,1267,1567,2042,1024,3588,1506,594,1198,493,1602,7686,49,1,False,West,8.391026573842296
10,IndianaPacers,ind,48,34,19905,2911,6608,379,1119,1739,2271,1004,3626,1910,696,1150,443,1811,7940,77,7,True,East,9.143805827494587
11,LAClippers,lac,27,55,19755,2835,6490,390,1177,1633,2177,1008,3470,1606,574,1246,461,1784,7693,49,5,False,West,9.579777561395113
12,LALakers,lal,50,32,19933,3091,6856,486,1367,1562,2129,1078,3632,1909,639,1152,470,1874,8230,48,4,True,West,9.247608120317526
13,MiamiHeat,mia,25,57,19830,2688,6517,348,1100,1292,1689,948,3412,1501,592,1097,324,1856,7016,22,4,False,East,7.852559570226375
14,MilwaukeeBucks,mil,42,40,19905,3045,6670,585,1526,1483,1911,876,3243,1823,622,996,344,1819,8158,33,0,True,East,10.438481623107085
15,MinnesotaT-wolves,min,51,31,19805,3172,6809,296,804,1406,1826,959,3573,2070,553,1091,433,1704,8046,42,0,True,West,9.76037727551045
16,NJNets,bro,49,33,19755,2906,6585,346,1041,1662,2195,991,3519,1887,717,1184,374,1772,7820,47,3,True,East,8.277563123410095
17,NYKnicks,nyk,37,45,19855,2967,6725,606,1582,1320,1620,842,3218,1800,579,1114,255,1888,7860,20,1,False,East,8.74645845540385
18,OrlandoMagic,orl,42,40,19806,2947,6763,568,1590,1616,2079,958,3350,1676,696,1138,300,1888,8078,36,2,True,East,9.270673674759083
19,Philadelphia76ers,phi,48,34,19855,2975,6640,245,787,1748,2255,1042,3457,1771,844,1157,284,1804,7943,24,0,True,East,9.631336165239963
20,PhoenixSuns,pho,44,38,19805,3005,6776,394,1149,1430,1928,1049,3489,1719,665,1165,404,1801,7834,36,2,True,West,8.493975432627076
21,PortlandTrailBlazers,por,50,32,19855,2987,6491,379,1150,1450,1947,992,3370,1860,725,1185,316,1634,7803,51,2,True,West,8.132862170976315
22,SacramentoKings,sac,59,23,19830,3242,6990,491,1288,1367,1832,900,3651,2034,735,1171,457,1666,8342,38,3,True,West,10.831421066000761
23,SanAntonioSpurs,san,60,22,19830,2908,6297,449,1270,1591,2194,939,3495,1636,629,1260,529,1672,7856,46,4,True,West,9.21688587207559
24,SeattleSupersonics,okl,40,42,19855,2887,6599,456,1291,1325,1780,963,3348,1775,679,1026,295,1713,7555,42,5,False,West,7.960267337022609
25,TorontoRaptors,tor,24,58,19805,2847,6664,409,1193,1350,1879,1023,3378,1583,609,1106,392,1761,7453,37,2,False,East,7.994980078309066
26,UtahJazz,uta,47,35,19780,2894,6189,224,641,1750,2349,1021,3402,2103,708,1304,467,1837,7762,31,1,True,West,9.15690372715057
27,MemphisGrizzlies,mem,28,54,19930,3049,6743,467,1279,1430,1936,943,3409,1892,651,1214,500,1678,7995,26,2,False,West,8.688590812812551
28,WashingtonWizards,was,37,45,19831,2816,6394,253,811,1617,2077,917,3312,1612,621,1035,390,1644,7502,38,3,False,East,7.916387225808659
