,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"abdul-wahad,tari",dal,SG,24,441,55,147,1,2,24,33,41,84,24,20,27,10,56,1,135,0,0,0,False,3.15625,2.0833333333333335,5.260416666666667,0.3741496598639456,0.6951219512195121,True,West,9.62675701559448
1,"abdur-rahim,shar",atl,PF,77,2980,598,1297,21,70,419,523,198,696,239,98,250,81,214,2,1636,17,1,0,False,13.665584415584416,7.720779220779221,21.522727272727273,0.4610639938319198,0.4024390243902439,False,East,8.13245389610163
2,"alexander,courtn",was,SG,56,1325,223,474,5,18,98,121,43,148,86,35,60,7,113,0,549,0,0,1,False,6.464285714285714,1.7366071428571428,8.245535714285714,0.4704641350210971,0.45121951219512196,False,East,9.371986056996747
3,"alexander,victor",det,PF,15,97,18,51,0,2,4,8,7,29,6,0,5,1,6,0,40,0,0,0,False,0.8833333333333333,1.3333333333333333,2.216666666666667,0.35294117647058826,0.6097560975609756,True,East,8.43123691110947
4,"allen,malik",mia,PF,12,161,22,51,0,1,8,10,15,38,5,3,2,8,16,0,52,0,0,0,False,3.3958333333333335,2.2291666666666665,5.625,0.43137254901960786,0.43902439024390244,False,East,7.39609036398722
5,"allen,ray",mil,SG,69,2525,530,1148,229,528,214,245,81,312,271,88,159,18,157,0,1503,2,0,0,False,15.77536231884058,4.065217391304348,21.5,0.4616724738675958,0.5,False,East,9.89781572731925
6,"alston,rafer",mil,PG,50,600,66,191,27,71,18,29,10,72,143,32,40,2,42,0,177,1,0,0,False,3.685,1.66,5.615,0.34554973821989526,0.5,False,East,9.89781572731925
7,"amaechi,john",uta,C,54,586,54,166,0,0,67,105,52,109,29,7,55,10,64,0,175,2,0,0,False,1.1388888888888888,0.8101851851851852,1.9490740740740742,0.3253012048192771,0.5365853658536586,True,West,9.318702179204141
8,"anderson,chris",den,C,24,262,25,74,0,4,22,28,38,76,7,7,13,28,35,0,72,0,0,0,False,2.1041666666666665,2.3854166666666665,4.489583333333333,0.33783783783783783,0.32926829268292684,False,West,7.9329730978248865
9,"anderson,derek",por,SG,70,1860,247,612,85,228,178,208,47,189,216,68,87,8,113,1,757,0,0,0,False,8.360714285714286,2.55,11.517857142857142,0.4035947712418301,0.5975609756097561,True,West,8.85249964191386
10,"anderson,kenny",bos,??,76,2430,312,716,9,33,98,132,57,275,403,141,119,10,210,4,731,9,1,1,False,9.381578947368421,3.911184210526316,13.351973684210526,0.43575418994413406,0.5975609756097561,True,East,9.012023006598469
11,"anderson,nick",mem,SG,15,219,21,76,13,48,5,9,1,33,14,6,14,6,17,0,60,0,0,0,False,0.26666666666666666,2.466666666666667,3.1666666666666665,0.27631578947368424,0.2804878048780488,False,West,8.40752611480246
12,"anderson,shandon",nyk,SF,82,1596,149,373,39,141,74,107,57,249,76,48,97,15,134,1,411,1,1,2,False,2.442073170731707,2.3902439024390243,5.070121951219512,0.39946380697050937,0.36585365853658536,False,East,8.646400565583932
13,"anthony,greg",mil,PG,60,1514,183,475,48,163,60,91,22,132,282,77,94,5,114,1,474,7,0,0,False,6.941666666666666,2.5708333333333333,9.9125,0.38526315789473686,0.5,False,East,9.89781572731925
14,"arenas,gilbert",gsw,PG,47,1155,174,384,39,113,124,160,41,132,174,69,97,11,115,3,511,1,0,0,False,8.920212765957446,2.7819148936170213,12.117021276595745,0.453125,0.25609756097560976,False,West,9.200671667683729
15,"armstrong,brando",bro,SG,35,196,27,85,5,17,5,10,10,16,8,7,8,1,26,0,64,0,0,0,False,0.38571428571428573,0.07857142857142857,0.5357142857142857,0.3176470588235294,0.6341463414634146,True,East,8.689544186061417
16,"armstrong,darrel",orl,PG,82,2730,347,828,139,398,182,205,83,319,453,157,175,10,166,2,1015,6,1,0,False,11.548780487804878,4.3810975609756095,16.777439024390244,0.4190821256038647,0.5365853658536586,True,East,9.000226555424035
17,"arroyo,carlos",den,PG,38,383,49,111,0,2,13,18,12,40,70,11,23,1,30,0,111,0,0,0,False,3.085526315789474,0.7302631578947368,3.8157894736842106,0.44144144144144143,0.32926829268292684,False,West,7.9329730978248865
18,"artest,ron",ind,SF,55,1641,269,636,53,170,136,204,73,271,127,141,118,39,217,10,727,8,0,2,False,7.3136363636363635,5.468181818181818,13.263636363636364,0.4229559748427673,0.5121951219512195,True,East,9.490261264173471
19,"atkins,chucky",det,PG,79,2284,368,790,138,336,83,120,31,158,263,72,128,11,177,1,957,0,0,0,False,9.066455696202532,1.7658227848101267,11.705696202531646,0.46582278481012657,0.6097560975609756,True,East,8.43123691110947
20,"augmon,stacey",cha,SF,77,1320,140,328,0,3,77,101,59,225,103,56,54,12,115,0,357,0,0,0,False,3.6006493506493507,2.4740259740259742,6.074675324675325,0.4268292682926829,0.5365853658536586,True,East,9.1413579914785
21,"austin,isaac",mem,C,21,306,36,92,0,3,4,4,11,71,13,9,11,5,36,0,76,1,0,0,False,1.5476190476190477,2.7738095238095237,4.321428571428571,0.391304347826087,0.2804878048780488,False,West,8.40752611480246
22,"avery,william",min,PG,28,258,26,90,6,35,13,19,4,24,36,7,19,0,17,0,71,0,0,0,False,1.0446428571428572,0.7232142857142857,1.875,0.28888888888888886,0.6097560975609756,True,West,9.305868830608159
23,"bagaric,dalibor",chi,C,50,638,72,178,0,1,41,70,55,162,23,17,46,24,108,0,185,3,0,3,False,1.755,1.845,3.6,0.4044943820224719,0.25609756097560976,False,East,7.937228784940544
