,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,38,44,19857,3061,6688,768,2116,1392,1782,713,3278,2041,679,1189,326,1577,8282,10,0,True,East,10.269853240023513
1,BostonCeltics,bos,25,57,19730,2996,6881,575,1730,1325,1706,980,3485,1726,584,1183,344,1743,7892,16,0,False,East,8.169482532794182
2,CharlotteBobcats,cha,43,39,19915,2976,6730,516,1471,1474,2000,776,3500,1778,499,954,421,1493,7942,16,0,True,East,8.539702395078445
3,ChicagoBulls,chi,48,34,19957,2843,6577,508,1459,1486,1908,937,3621,1860,594,1148,423,1565,7680,38,0,True,East,8.088944977197093
4,ClevelandCavaliers,cle,33,49,19947,3036,6954,584,1638,1398,1861,988,3617,1739,579,1105,304,1640,8054,13,0,False,East,7.986982993635561
5,DallasMavericks,dal,49,33,19855,3249,6858,721,1877,1378,1733,840,3354,1935,704,1082,356,1636,8597,22,0,True,West,9.285798635251211
6,DenverNuggets,den,36,46,19766,3147,7041,702,1959,1563,2154,1008,3725,1839,615,1260,459,1890,8559,29,0,False,West,10.126043376536215
7,DetroitPistons,det,29,53,19780,3182,7124,507,1580,1415,2111,1196,3721,1714,687,1143,395,1666,8286,48,0,False,East,8.625088900978358
8,GSWarriors,gsw,51,31,19837,3236,7002,774,2037,1303,1731,895,3713,1913,642,1226,406,1784,8549,30,0,True,West,11.021470360968083
9,HoustonRockets,hou,54,28,19840,3118,6604,779,2180,1814,2549,921,3718,1755,621,1265,461,1676,8829,28,0,True,West,10.424789718871246
10,IndianaPacers,ind,56,26,19789,2949,6574,550,1542,1485,1907,835,3665,1651,550,1184,446,1675,7933,43,0,True,East,9.380418218280186
11,LAClippers,lac,57,25,19760,3208,6758,693,1964,1740,2382,858,3525,2015,702,1092,397,1767,8849,50,0,True,West,9.684064143749112
12,LALakers,lal,27,55,19728,3139,6980,774,2032,1390,1835,745,3365,2006,611,1213,447,1627,8442,16,0,False,West,10.229902133523993
13,MemphisGrizzlies,mem,50,32,19826,3122,6723,405,1147,1235,1666,950,3475,1792,631,1060,375,1568,7884,17,0,True,West,9.137436576661655
14,MiamiHeat,mia,54,28,19894,3142,6271,665,1829,1431,1884,626,3023,1847,732,1166,367,1596,8380,22,0,True,East,9.821319931930626
15,MilwaukeeBucks,mil,15,67,19892,2952,6737,548,1553,1377,1843,972,3371,1760,541,1173,402,1713,7829,32,0,False,East,9.101819982557325
16,MinnesotaT-wolves,min,40,42,19862,3189,7176,600,1759,1790,2301,1025,3669,1964,718,1105,296,1504,8768,17,0,False,West,10.016603052481752
17,BrooklynNets,bro,44,38,19892,2931,6391,709,1922,1508,2002,721,3127,1714,706,1144,310,1777,8079,26,0,True,East,9.030804467176358
18,NOrleansPelicans,nor,34,48,19852,3100,6759,486,1303,1488,1932,932,3415,1744,648,1065,522,1855,8174,19,0,False,West,9.128253103001908
19,NYKnicks,nyk,37,45,19876,3027,6739,759,2038,1271,1670,870,3307,1642,631,1017,366,1815,8084,42,0,False,East,8.47128726958322
20,OrlandoMagic,orl,23,59,19959,3022,6784,563,1596,1307,1714,794,3448,1726,630,1165,350,1678,7914,18,0,False,East,9.018187684255889
21,Philadelphia76ers,phi,19,63,19857,3108,7149,577,1847,1362,1918,949,3505,1791,765,1349,330,1844,8155,24,0,False,East,6.384870041775461
22,PhoenixSuns,pho,48,34,19763,3172,6845,765,2056,1520,2004,928,3529,1563,688,1216,374,1798,8629,49,0,False,West,9.13351263187224
23,PortlandTrailBlazers,por,54,28,19865,3207,7133,770,2071,1569,1926,1021,3806,1904,456,1094,388,1576,8753,28,0,True,West,9.384231265896494
24,SacramentoKings,sac,28,54,19827,3026,6765,491,1475,1698,2237,989,3645,1547,587,1203,318,1849,8241,48,0,False,West,7.606876565174985
25,SanAntonioSpurs,san,62,20,19776,3326,6844,698,1757,1289,1642,762,3548,2064,604,1153,420,1495,8639,10,0,True,West,9.98500994222909
26,OklahomaCityThunder,okl,59,23,19822,3194,6782,664,1839,1653,2052,887,3668,1795,678,1217,501,1858,8705,53,0,True,West,8.333045461284778
27,TorontoRaptors,tor,48,34,19972,2992,6718,713,1917,1608,2055,934,3485,1737,577,1099,343,1882,8305,37,0,True,East,8.773727469133087
28,UtahJazz,uta,25,57,19780,2951,6652,543,1577,1346,1803,904,3381,1664,570,1145,366,1699,7791,4,0,False,West,7.505346686802746
29,WashingtonWizards,was,44,38,20078,3177,6919,647,1705,1253,1715,886,3459,1909,668,1155,377,1675,8254,14,0,True,East,9.617740669179096
