,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,40,26,16158,2429,5349,492,1330,1025,1385,653,2718,1481,536,875,302,1178,6375,25,0,True,East,9.531964141011535
1,BostonCeltics,bos,39,27,15948,2341,5086,363,988,1017,1308,510,2560,1557,498,929,361,1315,6062,34,0,True,East,8.661097259430873
2,CharlotteBobcats,cha,7,59,15894,2193,5293,263,892,1090,1462,677,2571,1326,397,898,361,1249,5739,25,0,False,East,7.2686508249412
3,ChicagoBulls,chi,50,16,15953,2467,5461,419,1118,1006,1394,914,3079,1527,456,887,388,1139,6359,16,0,True,East,10.319777415281239
4,ClevelandCavaliers,cle,21,45,15966,2261,5360,440,1273,1178,1645,841,2790,1308,466,965,261,1317,6140,3,0,False,East,8.31018773492303
5,DallasMavericks,dal,36,30,15834,2398,5412,497,1464,1029,1334,665,2822,1380,566,893,336,1211,6322,25,0,True,West,8.705268063907246
6,DenverNuggets,den,38,28,16040,2572,5404,435,1311,1293,1760,738,2841,1581,540,986,330,1297,6872,19,0,True,West,11.029674794225794
7,DetroitPistons,det,25,41,15991,2291,5232,317,916,1098,1461,775,2657,1232,460,965,278,1293,5997,19,0,False,East,8.025538596380368
8,GSWarriors,gsw,23,43,15935,2489,5443,524,1351,951,1235,640,2585,1469,529,887,360,1410,6453,14,0,False,West,8.470851662684526
9,HoustonRockets,hou,34,32,16078,2489,5543,478,1330,1018,1301,770,2783,1404,497,913,318,1347,6474,12,0,False,West,9.54569763304539
10,IndianaPacers,ind,42,24,15996,2354,5373,392,1064,1349,1724,825,2895,1228,524,875,357,1430,6449,25,0,True,East,8.717528295629103
11,LAClippers,lac,40,26,15961,2439,5366,514,1441,1046,1538,800,2743,1385,556,815,316,1399,6438,51,0,True,West,9.399919859486392
12,LALakers,lal,41,25,16073,2429,5319,362,1113,1202,1589,799,3050,1485,390,960,351,1109,6422,40,0,True,West,9.32383171362704
13,MemphisGrizzlies,mem,41,25,15955,2425,5421,277,849,1142,1504,831,2774,1290,631,920,345,1316,6269,22,0,True,West,8.127317090255506
14,MiamiHeat,mia,46,20,16048,2446,5212,370,1030,1238,1598,686,2745,1317,586,971,355,1282,6500,18,0,True,East,9.07447995235509
15,MilwaukeeBucks,mil,31,35,15886,2502,5652,436,1265,1095,1415,820,2803,1549,548,903,335,1273,6535,28,0,False,East,10.011903646341295
16,MinnesotaT-wolves,min,26,40,15966,2355,5434,473,1423,1281,1662,798,2887,1290,436,970,293,1212,6464,12,0,False,West,9.785475323042418
17,NJNets,bro,22,44,15901,2262,5318,507,1481,1113,1433,782,2661,1311,493,944,260,1268,6144,19,0,False,East,8.042717375258945
18,NOrleansHornets,nor,21,45,15945,2300,5101,259,777,1057,1397,724,2715,1368,488,966,317,1324,5916,18,0,False,West,8.764672178935726
19,NYKnicks,nyk,36,30,15944,2365,5335,517,1538,1211,1634,743,2755,1328,622,1009,276,1391,6458,39,0,True,East,8.938484266192361
20,OrlandoMagic,orl,37,29,15973,2275,5162,670,1785,995,1508,742,2802,1321,452,930,274,1168,6215,37,0,True,East,8.3969361345814
21,Philadelphia76ers,phi,35,31,15928,2471,5516,349,963,889,1198,704,2848,1453,526,707,340,1157,6180,9,0,True,East,8.31354193222739
22,PhoenixSuns,pho,33,33,15841,2495,5445,444,1295,1058,1397,718,2751,1486,432,892,364,1233,6492,31,0,False,West,9.686245367627091
23,PortlandTrailBlazers,por,28,38,15973,2402,5417,478,1382,1133,1423,735,2684,1349,528,911,322,1251,6415,23,0,False,West,9.059095958179382
24,SacramentoKings,sac,22,44,15913,2490,5710,411,1300,1127,1532,883,2830,1271,560,915,323,1287,6518,27,0,False,West,8.842019947439676
25,SanAntonioSpurs,san,50,16,15954,2611,5463,552,1405,1067,1427,683,2836,1528,490,871,293,1143,6841,7,0,True,West,9.007590499654508
26,OklahomaCityThunder,okl,47,19,15997,2462,5229,472,1317,1406,1744,726,2883,1224,498,1054,539,1352,6802,46,0,True,West,8.606256585626904
27,TorontoRaptors,tor,23,43,15962,2268,5154,365,1076,1085,1410,697,2771,1382,429,957,319,1532,5986,21,0,False,East,8.56517948761407
28,UtahJazz,uta,36,30,16177,2523,5531,273,845,1258,1668,861,2916,1439,545,896,385,1441,6577,17,0,True,West,9.034037192367638
29,WashingtonWizards,was,20,46,15864,2414,5474,344,1075,1008,1386,774,2749,1262,527,961,417,1405,6180,23,0,False,East,7.743742498749029
