,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"abdur-rahim,shar",sac,PF,6,51,3,14,0,0,4,4,6,10,4,1,1,0,9,0,10,0,0,0,False,1.4583333333333333,0.125,1.5833333333333333,0.21428571428571427,0.4634146341463415,False,West,8.565158914564787
1,"afflalo,arron",det,SG,75,975,99,241,10,48,68,87,36,137,52,31,34,8,83,0,276,0,0,0,False,2.44,1.4166666666666667,3.9233333333333333,0.4107883817427386,0.7195121951219512,True,East,8.970104374107372
2,"ager,maurice",bro,PG,26,166,21,65,3,19,6,12,4,13,8,0,6,1,17,0,51,0,0,0,False,0.40384615384615385,0.057692307692307696,0.5192307692307693,0.3230769230769231,0.4146341463414634,False,East,8.508218966301083
3,"ahearn,blake",mia,PG,12,176,15,57,10,34,30,31,1,19,19,6,17,0,20,0,70,0,0,0,False,2.5833333333333335,1.2916666666666667,4.291666666666667,0.2631578947368421,0.18292682926829268,False,East,9.39217483199473
4,"aldridge,lamarcu",por,PF,76,2655,561,1161,1,7,227,298,220,578,122,55,126,94,240,7,1350,0,0,0,False,12.230263157894736,5.2730263157894735,17.50986842105263,0.48320413436692505,0.5,False,West,8.979953013213194
5,"allen,malik",dal,PF,73,1097,157,326,1,3,23,25,66,196,44,19,45,31,149,1,338,2,0,0,False,3.160958904109589,1.5102739726027397,4.678082191780822,0.4815950920245399,0.6219512195121951,True,West,9.614122739447396
6,"allen,ray",bos,SG,73,2621,439,987,180,452,215,237,75,268,225,65,127,16,147,0,1273,2,0,0,False,12.45890410958904,2.969178082191781,16.660958904109588,0.4447821681864235,0.8048780487804879,True,East,9.708555028021681
7,"allen,tony",bos,PG,75,1377,169,388,18,57,138,181,34,168,114,62,109,21,168,1,494,2,0,0,False,3.89,1.98,5.99,0.43556701030927836,0.8048780487804879,True,East,9.708555028021681
8,"allred,lance",cle,C,3,12,1,4,0,0,1,2,0,1,0,0,0,0,1,0,3,0,0,0,False,-0.16666666666666666,0.16666666666666666,0.0,0.25,0.5487804878048781,True,East,8.73591791884025
9,"almond,morris",uta,SF,9,40,4,15,1,4,4,6,0,2,3,1,2,0,5,0,13,0,0,0,False,0.25,0.08333333333333333,0.3888888888888889,0.26666666666666666,0.6585365853658537,True,West,9.824346246387604
10,"alston,rafer",hou,PG,74,2527,364,924,143,407,98,137,28,260,392,98,160,18,139,0,969,6,0,0,False,9.47972972972973,4.094594594594595,14.54054054054054,0.3939393939393939,0.6707317073170732,True,West,8.925665766506071
11,"amundson,louis",phi,SF,16,63,8,16,0,0,2,7,7,12,0,1,2,1,13,0,18,0,0,0,False,0.75,0.046875,0.796875,0.5,0.4878048780487805,True,East,8.567909116868574
12,"andersen,chris",nor,C,5,34,2,7,0,0,2,4,2,9,0,0,1,4,6,0,6,0,0,0,False,0.15,1.6,1.75,0.2857142857142857,0.6829268292682927,True,West,9.141929832011723
13,"anderson,derek",cha,SG,28,393,47,125,19,52,28,38,9,52,44,12,25,1,49,0,141,0,0,0,False,3.2410714285714284,1.2321428571428572,4.8125,0.376,0.3902439024390244,False,East,9.537482301485085
14,"anthony,carmelo",den,SF,77,2804,728,1481,58,164,464,590,178,571,259,98,252,39,253,2,1978,11,0,0,False,17.373376623376622,5.558441558441558,23.308441558441558,0.49155975692099935,0.6097560975609756,True,West,10.6693412138314
15,"anthony,joel",mia,C,24,497,28,60,0,0,29,49,38,93,3,9,17,31,55,1,85,0,0,0,False,2.6458333333333335,2.90625,5.552083333333333,0.4666666666666667,0.18292682926829268,False,East,9.39217483199473
16,"arenas,gilbert",was,PG,13,424,78,197,22,78,74,96,6,51,66,23,49,1,30,0,252,0,0,0,False,11.48076923076923,4.596153846153846,16.923076923076923,0.39593908629441626,0.524390243902439,True,East,11.302864455273266
17,"ariza,trevor",lal,SF,35,549,69,136,5,18,49,75,30,108,44,31,23,11,45,0,192,1,0,0,False,4.7785714285714285,3.007142857142857,7.857142857142857,0.5073529411764706,0.6951219512195121,True,West,11.220917154113156
18,"armstrong,darrel",bro,PG,50,550,40,110,23,69,20,30,17,67,73,28,41,2,53,0,123,1,0,0,False,2.08,1.21,3.52,0.36363636363636365,0.4146341463414634,False,East,8.508218966301083
19,"armstrong,hilton",nor,C,65,729,67,148,0,0,44,70,65,163,23,15,59,34,130,1,178,0,0,0,False,1.6,1.3192307692307692,2.919230769230769,0.4527027027027027,0.6829268292682927,True,West,9.141929832011723
20,"arroyo,carlos",orl,PG,62,1266,157,349,29,85,87,102,10,113,219,26,77,2,85,1,430,1,0,0,False,6.725806451612903,1.532258064516129,8.491935483870968,0.4498567335243553,0.6341463414634146,True,East,8.814510634314377
21,"artest,ron",sac,SF,57,2169,435,962,84,221,212,295,101,328,199,134,147,38,159,1,1166,8,0,0,False,13.25438596491228,6.192982456140351,20.18421052631579,0.4521829521829522,0.4634146341463415,False,West,8.565158914564787
