,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"bazemore,kent",atl,SG,75,2077,320,724,109,304,123,151,28,378,171,98,138,38,176,2,872,4,0,0,False,6.923333333333333,5.633333333333334,13.283333333333333,0.4419889502762431,0.5853658536585366,True,East,8.866143962705678
1,"hardaway,timjr",atl,SG,51,863,114,264,48,141,50,56,7,85,51,21,23,7,48,0,326,0,0,0,False,4.215686274509804,1.7107843137254901,6.397058823529412,0.4318181818181818,0.5853658536585366,True,East,8.866143962705678
2,"hinrich,kirk",atl,PG,11,75,2,11,1,6,0,0,1,12,14,2,3,1,1,0,5,0,0,0,False,0.9772727272727273,1.2727272727272727,2.2954545454545454,0.18181818181818182,0.5853658536585366,True,East,8.866143962705678
3,"holiday,justin",atl,SG,26,263,24,73,10,45,5,10,4,27,11,13,13,4,21,0,63,0,0,0,False,0.5,1.2596153846153846,1.9519230769230769,0.3287671232876712,0.5853658536585366,True,East,8.866143962705678
4,"horford,al",atl,PF,82,2638,529,1049,88,257,103,129,148,597,263,67,107,122,163,0,1249,1,0,0,False,12.902439024390244,6.990853658536586,20.429878048780488,0.5042897998093422,0.5853658536585366,True,East,8.866143962705678
5,"humphries,kris",atl,PF,21,294,47,101,8,31,32,45,20,71,13,10,14,8,44,1,134,0,0,0,False,4.392857142857143,2.357142857142857,6.940476190476191,0.46534653465346537,0.5853658536585366,True,East,8.866143962705678
6,"korver,kyle",atl,SG,80,2407,268,615,158,398,45,54,14,259,165,61,98,34,161,0,739,0,0,0,False,6.065625,3.434375,10.4875,0.43577235772357725,0.5853658536585366,True,East,8.866143962705678
7,"mack,shelvin",atl,PG,24,188,40,95,4,27,9,12,2,22,38,8,14,0,7,0,93,0,0,0,False,2.8541666666666665,1.1041666666666667,4.041666666666667,0.42105263157894735,0.5853658536585366,True,East,8.866143962705678
8,"millsap,paul",atl,PF,81,2640,501,1067,74,232,309,408,197,733,264,148,191,140,237,2,1385,4,0,0,False,13.00925925925926,9.166666666666666,22.632716049382715,0.46954076850984067,0.5853658536585366,True,East,8.866143962705678
9,"muscala,mike",atl,PF,60,569,76,152,12,39,31,39,38,117,34,13,27,27,72,1,195,0,0,0,False,2.6958333333333333,1.4375,4.233333333333333,0.5,0.5853658536585366,True,East,8.866143962705678
10,"patterson,lamar",atl,SG,35,400,28,80,12,49,16,22,4,50,39,9,23,2,45,0,84,0,0,0,False,1.5142857142857142,1.05,2.7357142857142858,0.35,0.5853658536585366,True,East,8.866143962705678
11,"schroder,dennis",atl,PG,80,1614,329,782,77,239,144,182,25,205,349,71,184,9,138,0,879,0,0,0,False,7.978125,2.609375,11.06875,0.42071611253196933,0.5853658536585366,True,East,8.866143962705678
12,"scott,mike",atl,PF,75,1155,176,376,62,158,50,63,53,206,78,25,42,17,102,0,464,0,0,0,False,4.74,2.0033333333333334,7.156666666666666,0.46808510638297873,0.5853658536585366,True,East,8.866143962705678
13,"sefolosha,thabo",atl,SG,75,1749,188,374,42,125,62,99,52,333,107,84,68,37,109,0,480,0,0,0,False,5.016666666666667,4.913333333333333,10.21,0.5026737967914439,0.5853658536585366,True,East,8.866143962705678
14,"splitter,tiago",atl,PF,36,579,81,155,0,2,39,48,45,121,30,20,24,12,71,0,201,0,0,0,False,4.861111111111111,2.1527777777777777,7.013888888888889,0.5225806451612903,0.5853658536585366,True,East,8.866143962705678
15,"tavares,walter",atl,C,11,69,11,19,0,0,3,8,7,21,3,1,5,6,8,0,25,0,0,0,False,1.7272727272727273,1.5681818181818181,3.2954545454545454,0.5789473684210527,0.5853658536585366,True,East,8.866143962705678
