,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"adrien,jeff",gsw,PF,23,195,23,54,0,0,11,19,23,58,10,4,9,5,28,1,57,0,0,0,False,2.010869565217391,1.3478260869565217,3.358695652173913,0.42592592592592593,0.43902439024390244,False,West,9.81095638174047
1,"afflalo,arron",den,SG,69,2327,312,627,105,248,138,163,45,251,168,34,71,31,153,2,867,3,0,0,False,10.184782608695652,2.9420289855072466,13.88768115942029,0.49760765550239233,0.6097560975609756,True,West,11.268757639294844
2,"ager,maurice",min,SF,4,29,6,11,3,4,0,0,0,2,1,1,4,0,4,0,15,0,0,0,False,1.5625,0.3125,2.25,0.5454545454545454,0.2073170731707317,False,West,9.236473881106338
3,"ajinca,alexis",tor,C,34,341,59,133,12,34,13,18,17,78,10,11,18,19,73,0,143,0,0,0,False,2.161764705882353,1.6838235294117647,4.022058823529412,0.44360902255639095,0.2682926829268293,False,East,8.393243936247694
4,"alabi,solomon",tor,C,12,62,3,15,0,0,0,2,7,14,2,2,3,2,5,0,6,0,0,0,False,-0.10416666666666667,0.75,0.6458333333333334,0.2,0.2682926829268293,False,East,8.393243936247694
5,"aldrich,cole",okl,C,18,140,8,15,0,0,2,4,13,35,4,5,8,7,30,0,18,0,0,0,False,1.0,1.125,2.125,0.5333333333333333,0.6707317073170732,True,West,9.093084242706915
6,"aldridge,lamarcu",por,PF,81,3215,707,1415,4,23,351,444,278,709,170,83,153,94,220,3,1769,3,0,0,False,16.182098765432098,6.404320987654321,22.61111111111111,0.49964664310954066,0.5853658536585366,True,West,8.824376966067375
7,"allen,malik",orl,PF,18,177,11,31,0,0,1,2,12,32,4,1,3,4,30,0,23,0,0,0,False,0.875,0.5694444444444444,1.4444444444444444,0.3548387096774194,0.6341463414634146,True,East,10.68572064022404
8,"allen,ray",bos,SG,80,2890,480,978,168,378,193,219,51,274,219,78,117,17,147,0,1321,0,0,0,False,12.35625,3.3,16.70625,0.49079754601226994,0.6829268292682927,True,East,9.331995071443773
9,"allen,tony",mem,SG,72,1501,251,492,4,23,137,182,69,192,104,129,86,44,161,0,643,3,0,0,False,6.5,3.4409722222222223,9.96875,0.5101626016260162,0.5609756097560976,True,West,9.3619566562796
10,"aminu,al-farouq",lac,SF,81,1453,160,406,45,143,92,119,75,267,60,59,103,25,121,0,457,0,0,0,False,2.700617283950617,2.8425925925925926,5.820987654320987,0.39408866995073893,0.3902439024390244,False,West,9.949100837380069
11,"amundson,louis",gsw,C,46,693,83,183,0,0,34,87,81,185,17,13,24,33,87,1,200,1,0,0,False,3.1467391304347827,2.385869565217391,5.532608695652174,0.453551912568306,0.43902439024390244,False,West,9.81095638174047
12,"andersen,chris",den,C,45,728,82,137,0,1,86,135,75,219,20,23,25,58,79,1,250,2,0,0,False,5.272222222222222,4.25,9.522222222222222,0.5985401459854015,0.6097560975609756,True,West,11.268757639294844
13,"andersen,david",nor,C,40,373,56,121,8,23,14,22,20,84,13,5,22,9,40,0,134,1,0,0,False,1.81875,1.48125,3.4,0.4628099173553719,0.5609756097560976,True,West,8.386873436166315
