,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,48,34,19828,3168,6923,815,2327,1282,1638,678,3450,2100,749,1192,488,1570,8433,9,0,True,East,8.866143962705678
1,BostonCeltics,bos,48,34,19800,3216,7318,717,2142,1520,1929,950,3683,1981,752,1104,348,1796,8669,20,0,True,East,8.83124756120868
2,CharlotteHornets,cha,48,34,19872,3036,6922,873,2411,1534,1941,734,3604,1778,596,975,438,1487,8479,11,0,True,East,9.951463939209033
3,ChicagoBulls,chi,42,40,19909,3165,7169,651,1754,1354,1720,907,3796,1870,495,1093,470,1545,8335,12,0,False,East,10.136586210887145
4,ClevelandCavaliers,cle,57,25,19872,3171,6888,880,2426,1333,1783,873,3650,1861,551,1056,317,1666,8555,12,0,True,East,9.287406579002438
5,DallasMavericks,dal,42,40,19999,3064,6901,806,2341,1454,1831,753,3534,1813,560,1011,304,1594,8388,21,0,True,West,9.600204338913441
6,DenverNuggets,den,33,49,19854,3093,7002,656,1945,1513,1974,940,3658,1858,609,1162,395,1723,8355,15,0,False,West,8.93351919214284
7,DetroitPistons,det,44,38,19880,3111,7088,740,2146,1399,2095,1021,3798,1594,573,1062,304,1557,8361,27,0,True,East,9.131281353669104
8,GSWarriors,gsw,73,9,19877,3489,7158,1077,2592,1366,1790,816,3786,2373,688,1219,497,1701,9421,20,0,True,West,10.6163901812579
9,HoustonRockets,hou,41,41,19834,3094,6847,878,2531,1671,2407,930,3531,1821,821,1250,429,1790,8737,29,0,True,West,8.949120506514184
10,IndianaPacers,ind,45,37,19901,3142,6985,663,1885,1430,1872,847,3627,1741,741,1176,392,1641,8377,11,0,True,East,9.353507230507809
11,LAClippers,lac,53,29,19834,3139,6758,797,2190,1488,2150,722,3446,1871,709,1015,457,1744,8563,33,0,True,West,9.195308758405012
12,LALakers,lal,17,65,19733,2880,6958,639,2011,1583,2028,881,3526,1478,593,1068,337,1662,7982,7,0,False,West,8.604783211888295
13,MemphisGrizzlies,mem,42,40,19853,3019,6859,504,1521,1584,2024,916,3413,1697,725,1042,350,1783,8126,21,0,True,West,7.962566984603053
14,MiamiHeat,mia,48,34,19831,3150,6697,498,1479,1406,1890,807,3618,1709,553,1085,531,1502,8204,15,0,True,East,9.214431705466604
15,MilwaukeeBucks,mil,33,49,19846,3145,6739,440,1277,1392,1863,860,3418,1895,671,1201,476,1695,8122,21,0,False,East,8.718353782022373
16,MinnesotaT-wolves,min,29,53,19885,3095,6667,455,1347,1753,2213,821,3408,1916,656,1178,375,1696,8398,12,0,False,West,8.77716737560387
17,BrooklynNets,bro,21,61,19772,3136,6921,531,1509,1286,1699,864,3478,1829,627,1174,331,1476,8089,10,0,False,East,9.843189085335704
18,NOrleansPelicans,nor,30,52,19758,3146,7028,701,1947,1413,1821,782,3487,1809,632,1069,342,1710,8406,13,0,False,West,10.466862638482375
19,NYKnicks,nyk,32,50,19777,3016,6876,610,1761,1409,1751,850,3635,1678,465,1036,466,1614,8051,14,0,False,East,8.173183088051381
20,OrlandoMagic,orl,35,47,19909,3242,7120,636,1814,1249,1649,843,3552,1933,674,1115,417,1701,8369,11,0,False,East,8.882753150648886
21,Philadelphia76ers,phi,10,72,19810,2970,6885,764,2254,1284,1850,778,3382,1764,680,1278,495,1776,7988,6,0,False,East,8.629252101911012
22,PhoenixSuns,pho,23,59,19697,3050,7016,738,2117,1431,1905,942,3674,1700,631,1357,312,1858,8269,19,0,False,West,8.041416502838118
23,PortlandTrailBlazers,por,44,38,19818,3167,7042,864,2338,1424,1889,949,3730,1748,562,1154,378,1782,8622,12,0,True,West,8.177928196285249
24,SacramentoKings,sac,33,49,19817,3283,7083,660,1839,1514,2089,868,3627,2009,734,1274,367,1676,8740,25,0,False,West,10.394220143276724
25,SanAntonioSpurs,san,67,15,19710,3289,6799,570,1517,1342,1672,771,3601,2010,677,1027,487,1433,8490,4,0,True,West,9.599024001220164
26,OklahomaCityThunder,okl,55,27,19860,3372,7081,678,1946,1616,2067,1069,3986,1883,603,1269,487,1691,9038,29,0,True,West,8.97776256472757
27,TorontoRaptors,tor,56,26,19800,3006,6669,708,1912,1702,2190,836,3558,1536,637,994,449,1610,8422,19,0,True,East,9.254204024704805
28,UtahJazz,uta,40,42,19950,2957,6592,694,1954,1402,1885,880,3544,1554,630,1162,420,1653,8010,8,0,False,West,8.430275463958953
29,WashingtonWizards,was,41,41,19759,3238,7033,709,1982,1349,1849,743,3431,2005,709,1139,322,1708,8534,13,0,False,East,9.043821537755493
