,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,28,54,19905,2829,6529,419,1248,1534,1976,997,3503,1648,627,1278,408,1826,7611,34,2,False,East,6.696084691087494
1,BostonCeltics,bos,36,46,19705,2843,6415,553,1599,1572,2095,851,3291,1683,770,1289,331,1837,7811,24,0,True,East,8.03184644295911
2,NOrleansHornets,nor,41,41,19830,2772,6605,531,1666,1454,1937,1091,3509,1716,708,1155,346,1716,7529,42,2,True,East,9.344504342135634
3,ChicagoBulls,chi,23,59,19830,2798,6753,429,1256,1330,1834,1048,3567,1793,659,1249,394,1911,7355,32,2,False,East,8.072104443478546
4,ClevelandCavaliers,cle,35,47,19855,2922,6753,247,786,1528,2030,1118,3737,1808,585,1166,537,1742,7619,19,1,False,East,8.608981933160443
5,DallasMavericks,dal,52,30,19805,3322,7230,507,1456,1475,1854,1174,3712,1963,656,965,437,1609,8626,40,4,True,West,11.217434016848308
6,DenverNuggets,den,43,39,19730,2993,6763,331,985,1655,2159,1083,3470,1794,745,1201,520,1804,7972,28,0,True,West,8.22695647265043
7,DetroitPistons,det,54,28,19780,2747,6315,333,969,1561,2074,1014,3506,1702,659,1179,570,1664,7388,45,4,True,East,9.846558222356656
8,GSWarriors,gsw,37,45,19855,2875,6511,429,1283,1470,2028,1002,3535,1681,576,1154,389,1691,7649,23,3,False,West,8.397969729107686
9,HoustonRockets,hou,45,37,19930,2738,6195,515,1406,1371,1774,847,3494,1579,560,1295,443,1762,7362,40,1,True,West,7.647034909630702
10,IndianaPacers,ind,61,21,19805,2753,6322,449,1281,1538,2014,965,3417,1774,726,1108,411,1709,7493,40,3,True,East,8.365095883400967
11,LAClippers,lac,28,54,19805,2817,6579,329,1024,1808,2302,1149,3565,1653,594,1281,376,1816,7771,40,4,False,West,8.13734217489168
12,LALakers,lal,56,26,19855,3028,6676,365,1115,1631,2352,1001,3536,1948,682,1096,379,1732,8052,56,5,True,West,9.912519391437772
13,MiamiHeat,mia,42,40,19755,2729,6417,485,1357,1459,1915,940,3399,1565,590,1076,313,1812,7402,35,2,True,East,6.892832443148662
14,MilwaukeeBucks,mil,41,41,19780,2970,6650,401,1145,1698,2192,960,3462,1872,554,1066,383,1667,8039,16,1,True,East,9.750247665440103
15,MinnesotaT-wolves,min,58,24,19755,3033,6571,326,897,1361,1743,875,3520,1890,561,1004,462,1731,7753,47,2,True,West,8.287191977176917
16,NJNets,bro,47,35,19705,2813,6372,377,1123,1398,1856,862,3335,2009,709,1157,322,1722,7401,36,2,True,East,7.508318700839371
17,NYKnicks,nyk,39,43,19880,2881,6513,406,1115,1374,1732,950,3493,1695,608,1253,391,1897,7542,26,2,True,East,8.149260471294463
18,OrlandoMagic,orl,21,61,19830,2904,6768,429,1248,1474,2000,1003,3353,1584,547,1063,308,1744,7711,25,1,False,East,7.137126178764829
19,Philadelphia76ers,phi,33,49,19855,2682,6260,339,992,1512,2009,941,3349,1640,654,1207,358,1701,7215,22,0,False,East,9.26347223638484
20,PhoenixSuns,pho,29,53,19730,2958,6671,415,1202,1392,1865,924,3330,1586,734,1203,383,1862,7723,25,0,False,West,9.396651182299715
21,PortlandTrailBlazers,por,41,41,19980,2898,6467,381,1102,1263,1728,1040,3416,1768,613,1134,444,1554,7440,41,1,False,West,6.557522221943482
22,SacramentoKings,sac,55,27,19780,3103,6711,601,1498,1626,2044,888,3380,2152,710,1107,325,1586,8433,44,4,True,West,11.485774999338638
23,SanAntonioSpurs,san,57,25,19755,2842,6434,408,1140,1409,2069,1028,3697,1676,661,1155,537,1667,7501,19,0,True,West,7.519694861940543
24,SeattleSupersonics,okl,37,45,19804,2939,6590,723,1936,1363,1782,907,3225,1782,661,1128,387,1783,7964,24,0,False,West,9.391862156147385
25,TorontoRaptors,tor,33,49,19980,2654,6348,461,1294,1237,1650,830,3249,1574,604,1090,401,1748,7006,27,2,False,East,8.065605684779328
26,UtahJazz,uta,42,40,19780,2690,6171,252,786,1639,2197,1103,3375,1671,583,1255,494,2095,7271,31,4,False,West,7.618125026547464
27,MemphisGrizzlies,mem,50,32,19880,2963,6657,447,1314,1557,2143,1047,3428,1915,795,1180,565,1903,7930,49,5,True,West,8.41917469298927
28,WashingtonWizards,was,25,57,19830,2758,6556,433,1269,1579,2211,1115,3507,1537,733,1371,406,1712,7528,26,2,False,East,8.627887122773938
