,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"abdul-wahad,tari",dal,SG,14,204,27,58,0,1,3,6,14,40,21,6,7,3,26,0,57,0,0,0,False,4.0,1.6785714285714286,5.678571428571429,0.46551724137931033,0.7317073170731707,True,West,8.887837634596167
1,"abdur-rahim,shar",atl,PF,81,3083,566,1183,21,60,455,541,175,677,242,87,210,39,240,2,1608,9,0,0,False,14.246913580246913,6.540123456790123,20.916666666666668,0.47844463229078615,0.4268292682926829,False,East,6.423284384465086
2,"alexander,courtn",nor,SG,66,1360,193,505,19,57,118,146,39,118,79,31,68,6,125,0,523,0,0,0,False,3.784090909090909,0.928030303030303,4.856060606060606,0.3821782178217822,0.573170731707317,True,East,8.564677309895043
3,"allen,malik",mia,PF,80,2318,335,790,0,4,97,121,134,425,54,37,128,78,234,1,767,1,0,2,False,4.25625,3.678125,7.934375,0.4240506329113924,0.3048780487804878,False,East,7.852559570226375
4,"allen,ray",okl,SG,76,2880,598,1363,201,533,316,345,94,381,334,103,198,14,220,4,1713,3,0,0,False,15.717105263157896,4.207236842105263,21.24671052631579,0.4387380777696258,0.4878048780487805,False,West,7.960267337022609
5,"alston,rafer",tor,PG,47,979,139,335,51,130,37,54,21,107,192,38,86,15,120,0,366,3,0,0,False,6.638297872340425,1.8829787234042554,9.063829787234043,0.41492537313432837,0.2926829268292683,False,East,7.994980078309066
6,"amaechi,john",uta,C,50,474,37,118,0,0,25,52,26,77,21,14,34,7,50,1,99,0,0,0,False,0.285,1.01,1.295,0.3135593220338983,0.573170731707317,True,West,9.15690372715057
7,"andersen,chris",den,PF,59,907,114,285,0,1,77,140,109,274,32,30,60,60,90,1,305,0,0,0,False,2.9915254237288136,3.6864406779661016,6.677966101694915,0.4,0.2073170731707317,False,West,6.741228281035248
8,"anderson,derek",por,SG,76,2555,355,832,116,331,231,269,53,264,325,90,128,16,141,1,1057,0,0,0,False,11.319078947368421,3.539473684210526,15.62171052631579,0.4266826923076923,0.6097560975609756,True,West,8.132862170976315
9,"anderson,kenny",nor,PG,61,1135,163,382,1,7,45,57,31,132,198,58,75,5,106,0,372,0,0,0,False,5.438524590163935,2.057377049180328,7.504098360655738,0.42670157068062825,0.573170731707317,True,East,8.564677309895043
10,"anderson,shandon",nyk,SF,82,1731,248,537,52,140,139,190,64,254,87,73,114,20,177,1,687,0,0,0,False,4.911585365853658,2.5945121951219514,7.823170731707317,0.4618249534450652,0.45121951219512196,False,East,8.74645845540385
11,"archibald,robert",mem,PF,12,72,6,20,0,0,7,18,6,17,3,0,7,3,9,0,19,0,0,0,False,0.041666666666666664,0.7916666666666666,0.8333333333333334,0.3,0.34146341463414637,False,West,8.688590812812551
12,"arenas,gilbert",gsw,PG,82,2868,509,1180,109,313,370,468,97,386,514,124,290,17,260,3,1497,13,1,3,False,13.914634146341463,3.9634146341463414,18.54268292682927,0.43135593220338986,0.4634146341463415,False,West,8.00990589804088
13,"armstrong,brando",bro,SG,17,69,9,27,1,6,5,6,0,4,2,3,5,1,8,0,24,0,0,0,False,0.10294117647058823,0.27941176470588236,0.4117647058823529,0.3333333333333333,0.5975609756097561,True,East,8.277563123410095
14,"armstrong,darrel",orl,PG,82,2351,263,643,78,232,165,188,91,295,323,135,160,13,167,1,769,3,0,1,False,8.161585365853659,3.6615853658536586,12.298780487804878,0.40902021772939345,0.5121951219512195,True,East,9.270673674759083
15,"arroyo,carlos",uta,PG,44,287,50,109,3,7,18,22,11,26,53,12,30,1,28,0,121,0,0,0,False,2.2670454545454546,0.38636363636363635,2.6875,0.45871559633027525,0.573170731707317,True,West,9.15690372715057
16,"artest,ron",ind,SF,69,2316,362,846,71,211,273,371,101,362,198,159,145,50,242,7,1068,15,1,8,False,9.960144927536232,5.4021739130434785,15.876811594202898,0.42789598108747046,0.5853658536585366,True,East,9.143805827494587
17,"atkins,chucky",det,PG,65,1398,168,465,86,242,40,49,21,96,175,27,77,4,108,0,462,1,0,0,False,4.661538461538462,0.9038461538461539,6.226923076923077,0.36129032258064514,0.6097560975609756,True,East,7.561416751040208
18,"augmon,stacey",nor,SF,70,862,79,192,0,7,54,72,26,119,69,27,40,9,80,0,212,3,0,0,False,2.132142857142857,1.3678571428571429,3.5,0.4114583333333333,0.573170731707317,True,East,8.564677309895043
19,"bagaric,dalibor",chi,C,10,76,8,26,0,0,3,4,7,20,4,3,5,3,11,0,19,0,0,0,False,0.625,1.425,2.05,0.3076923076923077,0.36585365853658536,False,East,8.116311452850129
20,"baker,vin",bos,PF,52,942,99,207,0,4,72,107,90,198,29,22,61,30,146,1,270,10,0,1,False,3.548076923076923,1.7403846153846154,5.288461538461538,0.4782608695652174,0.5365853658536586,True,East,7.549936157831341
21,"barry,brent",okl,SG,75,2481,264,577,118,293,128,161,48,301,384,113,142,15,199,1,774,1,0,1,False,10.586666666666666,4.1033333333333335,15.476666666666667,0.45753899480069327,0.4878048780487805,False,West,7.960267337022609
22,"barry,jon",det,SG,80,1473,191,424,87,214,86,100,33,180,206,63,81,14,104,0,555,6,0,0,False,6.228125,2.346875,9.11875,0.45047169811320753,0.6097560975609756,True,East,7.561416751040208
23,"baston,maceo",tor,PF,16,106,15,25,0,0,10,12,4,23,0,4,6,11,16,0,40,0,0,0,False,1.59375,1.6875,3.28125,0.6,0.2926829268292683,False,East,7.994980078309066
24,"bateer,mengke",san,C,12,45,4,17,1,3,0,2,2,10,4,0,6,0,14,0,9,0,0,0,False,-0.4583333333333333,0.08333333333333333,-0.3333333333333333,0.23529411764705882,0.7317073170731707,True,West,9.21688587207559
25,"batiste,mike",mem,SF,75,1249,197,467,18,81,69,88,82,257,52,42,69,16,120,1,481,6,0,0,False,3.4166666666666665,2.4466666666666668,5.983333333333333,0.42184154175588867,0.34146341463414637,False,West,8.688590812812551
26,"battie,tony",bos,C,67,1683,199,369,1,5,88,118,148,433,49,33,48,81,197,2,487,7,1,1,False,6.630597014925373,4.5783582089552235,11.216417910447761,0.5392953929539296,0.5365853658536586,True,East,7.549936157831341
27,"battier,shane",mem,SF,78,2383,275,569,86,216,120,145,128,345,105,102,68,88,207,0,756,0,0,0,False,7.996794871794871,4.217948717948718,12.76602564102564,0.4833040421792619,0.34146341463414637,False,West,8.688590812812551
28,"baxter,lonny",chi,PF,55,682,96,206,0,2,70,103,65,165,16,9,46,22,135,1,262,0,0,0,False,2.963636363636364,1.1954545454545455,4.159090909090909,0.46601941747572817,0.36585365853658536,False,East,8.116311452850129
29,"bell,raja",dal,SG,75,1173,93,211,21,51,23,34,47,145,57,52,43,8,134,1,230,9,2,0,False,2.16,1.3866666666666667,3.6866666666666665,0.44075829383886256,0.7317073170731707,True,West,8.887837634596167
30,"bender,jonathan",ind,SF,46,819,112,254,19,53,60,84,42,133,42,8,42,56,86,0,303,2,0,0,False,4.108695652173913,2.4782608695652173,6.793478260869565,0.4409448818897638,0.5853658536585366,True,East,9.143805827494587
31,"benjamin,corey",atl,SG,9,152,13,43,2,13,12,16,10,31,10,1,6,2,20,0,40,0,0,0,False,2.5555555555555554,1.5833333333333333,4.25,0.3023255813953488,0.4268292682926829,False,East,6.423284384465086
32,"best,travis",mia,PG,72,1807,231,583,36,109,105,123,26,147,255,44,106,7,174,6,603,4,0,1,False,6.253472222222222,1.3055555555555556,7.809027777777778,0.39622641509433965,0.3048780487804878,False,East,7.852559570226375
33,"bibby,mike",sac,PG,55,1835,329,700,56,137,161,187,34,147,285,72,127,8,93,0,875,4,0,1,False,13.063636363636364,2.9545454545454546,16.527272727272727,0.47,0.7195121951219512,True,West,10.831421066000761
34,"billups,chauncey",det,PG,74,2327,366,870,149,380,318,362,38,273,287,63,134,15,136,0,1199,5,1,0,False,12.125,3.5236486486486487,16.655405405405407,0.4206896551724138,0.6097560975609756,True,East,7.561416751040208
35,"blount,corie",chi,PF,50,836,65,134,0,0,20,35,68,205,50,33,43,19,121,1,150,5,0,0,False,2.905,2.735,5.64,0.48507462686567165,0.36585365853658536,False,East,8.116311452850129
36,"blount,mark",bos,C,81,1403,150,347,0,0,101,139,111,308,56,42,103,68,187,2,401,7,0,0,False,2.8425925925925926,2.765432098765432,5.6080246913580245,0.4322766570605187,0.5365853658536586,True,East,7.549936157831341
37,"booth,calvin",okl,C,47,573,52,119,0,2,34,47,32,109,12,11,22,33,74,0,138,0,0,0,False,1.7872340425531914,1.8457446808510638,3.632978723404255,0.4369747899159664,0.4878048780487805,False,West,7.960267337022609
38,"boozer,carlos",cle,PF,81,2049,331,618,0,1,148,192,202,609,106,59,103,50,224,2,810,0,0,0,False,8.725308641975309,5.169753086419753,13.895061728395062,0.5355987055016181,0.2073170731707317,False,East,8.849823389213602
39,"boumtje,ruben",por,C,2,5,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,False,0.625,0.625,1.25,0.0,0.6097560975609756,True,West,8.132862170976315
40,"bowen,bruce",san,SF,82,2567,223,479,101,229,36,89,59,239,113,66,72,42,195,0,583,10,2,0,False,4.887195121951219,2.524390243902439,8.027439024390244,0.46555323590814196,0.7317073170731707,True,West,9.21688587207559
41,"bowen,ryan",den,SF,62,997,97,197,2,7,27,41,78,157,54,65,43,29,82,0,223,0,0,0,False,3.350806451612903,2.3911290322580645,5.758064516129032,0.49238578680203043,0.2073170731707317,False,West,6.741228281035248
42,"boykins,earl",gsw,PG,68,1321,199,464,29,77,173,200,35,88,221,38,73,4,75,0,600,0,0,0,False,7.963235294117647,0.9852941176470589,9.161764705882353,0.42887931034482757,0.4634146341463415,False,West,8.00990589804088
43,"bradley,michael",tor,PF,67,1314,151,314,1,6,35,67,162,409,67,16,76,32,125,0,338,1,0,0,False,4.608208955223881,3.529850746268657,8.145522388059701,0.48089171974522293,0.2926829268292683,False,East,7.994980078309066
44,"bradley,shawn",dal,C,81,1731,201,375,0,1,141,175,151,476,54,65,67,170,242,5,543,9,1,0,False,5.898148148148148,5.62037037037037,11.518518518518519,0.536,0.7317073170731707,True,West,8.887837634596167
45,"brand,elton",lac,PF,62,2453,451,899,0,1,244,356,283,703,157,71,161,158,204,3,1146,5,0,1,False,14.758064516129032,9.076612903225806,23.83467741935484,0.5016685205784205,0.32926829268292684,False,West,9.579777561395113
46,"bremer,j.r.",bos,PG,64,1502,171,464,101,286,85,111,18,145,164,38,59,3,80,1,528,0,0,0,False,5.80078125,2.1484375,8.73828125,0.36853448275862066,0.5365853658536586,True,East,7.549936157831341
47,"brewer,jamison",ind,SG,10,80,9,17,0,2,4,9,5,9,18,2,6,1,11,0,22,0,0,0,False,3.15,0.2,3.35,0.5294117647058824,0.5853658536585366,True,East,9.143805827494587
48,"brezec,primoz",ind,PF,22,111,15,38,0,1,12,20,13,23,4,2,7,4,16,0,42,0,0,0,False,1.1022727272727273,0.38636363636363635,1.4886363636363635,0.39473684210526316,0.5853658536585366,True,East,9.143805827494587
49,"brown,damone",tor,SF,5,115,11,35,0,2,6,8,3,15,3,1,6,0,14,0,28,0,0,0,False,0.45,1.25,1.7,0.3142857142857143,0.2926829268292683,False,East,7.994980078309066
50,"brown,devin",den,SG,10,93,12,35,0,1,6,8,8,18,7,4,9,1,14,0,30,0,0,0,False,1.15,0.9,2.05,0.34285714285714286,0.2073170731707317,False,West,6.741228281035248
51,"brown,kedrick",bos,SG,51,666,61,171,3,39,20,32,45,140,20,34,23,13,68,0,145,1,0,0,False,1.357843137254902,2.284313725490196,3.6715686274509802,0.3567251461988304,0.5365853658536586,True,East,7.549936157831341
52,"brown,kwame",was,C,80,1774,224,502,0,3,145,217,128,426,58,50,110,80,159,1,593,2,1,0,False,4.25,4.5125,8.7625,0.44621513944223107,0.45121951219512196,False,East,7.916387225808659
53,"brown,p.j.",nor,PF,78,2609,319,601,0,3,194,232,243,701,147,67,98,80,201,2,832,1,0,3,False,10.695512820512821,6.605769230769231,17.30128205128205,0.5307820299500832,0.573170731707317,True,East,8.564677309895043
54,"brown,randy",pho,PG,32,262,16,43,0,0,9,12,3,26,35,17,17,2,36,0,41,3,1,0,False,1.09375,0.8828125,1.9765625,0.37209302325581395,0.5365853658536586,True,West,8.493975432627076
55,"brown,tierre",cle,PG,15,168,27,59,0,1,11,14,8,30,39,13,22,0,9,0,65,0,0,0,False,4.05,2.25,6.3,0.4576271186440678,0.2073170731707317,False,East,8.849823389213602
56,"brunson,rick",chi,PG,17,196,23,50,4,6,10,12,4,19,36,10,17,3,20,0,60,0,0,0,False,3.514705882352941,1.2058823529411764,4.838235294117647,0.46,0.36585365853658536,False,East,8.116311452850129
57,"bryant,kobe",lal,SG,82,3402,868,1924,124,324,601,713,106,564,481,181,288,67,218,0,2461,11,0,0,False,20.551829268292682,7.8323170731707314,29.140243902439025,0.45114345114345117,0.6097560975609756,True,West,9.247608120317526
58,"bryant,mark",bos,PF,16,100,5,19,0,0,3,4,8,20,4,1,7,1,18,0,13,0,0,0,False,0.171875,0.328125,0.5,0.2631578947368421,0.5365853658536586,True,East,7.549936157831341
59,"buckner,greg",phi,SG,75,1513,185,398,15,55,65,81,72,216,96,72,62,16,203,0,450,2,0,1,False,4.553333333333334,1.9533333333333334,6.6066666666666665,0.4648241206030151,0.5853658536585366,True,East,9.631336165239963
60,"burke,pat",orl,C,62,783,113,296,1,7,40,58,57,146,23,19,47,25,99,1,267,2,0,0,False,1.6129032258064515,1.4233870967741935,3.0443548387096775,0.38175675675675674,0.5121951219512195,True,East,9.270673674759083
61,"butler,caron",mia,SF,78,2858,429,1032,34,107,309,375,135,397,213,137,192,31,230,3,1201,3,0,0,False,9.272435897435898,4.477564102564102,13.967948717948717,0.41569767441860467,0.3048780487804878,False,East,7.852559570226375
62,"butler,rasual",mia,SF,72,1514,207,572,50,171,76,104,29,186,93,21,77,43,105,0,540,0,0,0,False,2.9166666666666665,2.4131944444444446,5.677083333333333,0.3618881118881119,0.3048780487804878,False,East,7.852559570226375
63,"caffey,jason",mil,PF,51,894,113,248,0,0,69,106,68,176,38,19,56,15,122,3,295,0,0,0,False,3.6666666666666665,1.6813725490196079,5.348039215686274,0.45564516129032256,0.5121951219512195,True,East,10.438481623107085
64,"camby,marcus",den,C,29,616,93,227,2,5,33,50,75,208,47,20,27,40,69,1,221,2,1,0,False,6.086206896551724,5.637931034482759,11.758620689655173,0.40969162995594716,0.2073170731707317,False,West,6.741228281035248
65,"campbell,elden",okl,C,56,869,117,295,0,1,109,136,47,181,51,33,50,39,129,2,343,2,0,0,False,3.53125,2.674107142857143,6.205357142857143,0.39661016949152544,0.4878048780487805,False,West,7.960267337022609
66,"cardinal,brian",was,SF,5,15,1,4,0,1,2,2,3,5,1,0,1,0,0,0,4,0,0,0,False,0.8,0.4,1.2,0.25,0.45121951219512196,False,East,7.916387225808659
67,"carter,anthony",mia,PG,49,912,83,233,0,8,33,50,12,83,203,45,81,5,70,0,199,0,0,3,False,4.183673469387755,1.8622448979591837,6.045918367346939,0.3562231759656652,0.3048780487804878,False,East,7.852559570226375
68,"carter,vince",tor,SG,43,1471,355,760,45,131,129,160,59,188,143,48,74,41,121,2,884,2,0,0,False,14.11046511627907,3.941860465116279,18.575581395348838,0.46710526315789475,0.2926829268292683,False,East,7.994980078309066
69,"cassell,sam",mil,PG,78,2700,546,1162,59,163,385,447,57,342,450,88,177,14,216,1,1536,5,0,0,False,16.439102564102566,3.858974358974359,20.67628205128205,0.46987951807228917,0.5121951219512195,True,East,10.438481623107085
70,"cato,kelvin",hou,C,73,1252,133,256,0,4,66,124,132,428,20,38,56,85,176,0,332,10,0,2,False,3.5205479452054793,4.609589041095891,8.13013698630137,0.51953125,0.524390243902439,False,West,8.391026573842296
71,"chandler,tyson",chi,C,75,1826,257,484,0,0,177,291,169,514,76,37,135,106,220,3,691,14,2,0,False,6.51,5.163333333333333,11.673333333333334,0.53099173553719,0.36585365853658536,False,East,8.116311452850129
72,"cheaney,calbert",uta,SF,81,2351,325,651,10,25,40,69,73,284,163,65,108,13,225,1,700,0,0,0,False,6.188271604938271,2.3796296296296298,8.62962962962963,0.49923195084485406,0.573170731707317,True,West,9.15690372715057
73,"childs,chris",bro,PG,12,106,6,20,1,6,2,3,3,5,16,8,6,1,17,0,15,0,0,0,False,1.3333333333333333,0.375,1.75,0.3,0.5975609756097561,True,East,8.277563123410095
74,"christie,doug",sac,SG,80,2711,267,557,73,185,141,174,61,342,376,180,144,37,186,1,748,0,0,0,False,9.90625,5.625,15.9875,0.4793536804308797,0.7195121951219512,True,West,10.831421066000761
75,"clark,keon",sac,C,80,1781,226,451,0,4,84,128,138,451,80,38,94,150,227,2,536,4,0,0,False,5.06875,4.9625,10.03125,0.5011086474501109,0.7195121951219512,True,West,10.831421066000761
