,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"afflalo,arron",den,SG,82,2228,272,585,108,249,72,98,59,252,138,46,74,30,225,1,724,2,0,0,False,6.524390243902439,2.048780487804878,9.231707317073171,0.46495726495726497,0.6463414634146342,True,West,10.781701229533054
1,"ajinca,alexis",cha,C,6,29,5,10,0,0,0,1,1,4,0,1,2,1,5,0,10,0,0,0,False,0.5,0.4583333333333333,0.9583333333333334,0.5,0.5365853658536586,True,East,9.030311559136845
2,"aldridge,lamarcu",por,PF,78,2919,579,1169,5,16,230,304,192,627,160,67,104,48,231,2,1393,1,0,0,False,13.166666666666666,5.785256410256411,18.983974358974358,0.49529512403763903,0.6097560975609756,True,West,10.354550315223014
3,"alexander,joe",chi,SG,8,30,1,6,0,1,2,3,2,5,2,1,0,1,9,0,4,0,0,0,False,0.375,0.09375,0.46875,0.16666666666666666,0.5,True,East,8.665121332588479
4,"allen,malik",den,PF,51,458,46,116,1,6,12,13,36,82,16,11,22,5,68,0,105,0,0,0,False,1.2352941176470589,0.6029411764705882,1.8480392156862746,0.39655172413793105,0.6463414634146342,True,West,10.781701229533054
5,"allen,ray",bos,SG,80,2812,464,973,145,399,231,253,45,253,211,64,129,25,182,1,1304,0,0,0,False,11.64375,2.775,15.325,0.47687564234326824,0.6097560975609756,True,East,9.795815339471297
6,"allen,tony",bos,SG,54,889,129,253,0,5,72,119,52,145,72,59,66,19,109,1,330,0,0,0,False,4.481481481481482,2.4305555555555554,6.912037037037037,0.5098814229249012,0.6097560975609756,True,East,9.795815339471297
7,"alston,rafer",orl,PG,52,1424,155,446,58,168,59,81,13,129,176,50,95,10,103,0,427,1,0,0,False,4.581730769230769,2.6346153846153846,7.774038461538462,0.3475336322869955,0.7195121951219512,True,East,10.652933914241865
8,"amundson,louis",pho,PF,79,1165,152,276,0,1,67,123,128,346,31,24,57,73,169,1,371,2,0,0,False,3.9556962025316458,2.9936708860759493,6.949367088607595,0.5507246376811594,0.6585365853658537,True,West,9.799012724762367
9,"andersen,chris",den,C,76,1693,142,251,0,3,164,236,147,483,33,42,59,144,171,1,448,1,0,0,False,5.480263157894737,5.881578947368421,11.361842105263158,0.5657370517928287,0.6463414634146342,True,West,10.781701229533054
10,"andersen,david",hou,PF,63,892,147,340,27,78,46,67,54,208,44,15,37,12,119,0,367,1,0,0,False,3.5753968253968256,1.9880952380952381,5.777777777777778,0.4323529411764706,0.5121951219512195,False,West,9.519207434713962
11,"anderson,antonio",okl,??,1,15,1,3,0,0,0,0,1,1,0,0,1,0,1,0,2,0,0,0,False,-0.25,-0.5,-0.75,0.3333333333333333,0.6097560975609756,True,West,8.216969395913752
12,"anderson,ryan",orl,PF,63,918,169,388,78,211,71,82,70,202,37,25,56,14,81,0,487,0,0,0,False,4.900793650793651,2.1706349206349205,7.690476190476191,0.43556701030927836,0.7195121951219512,True,East,10.652933914241865
13,"anthony,carmelo",den,SF,69,2636,688,1502,59,187,508,612,152,454,222,88,209,30,225,2,1943,12,0,0,False,17.8731884057971,4.77536231884058,23.07608695652174,0.4580559254327563,0.6463414634146342,True,West,10.781701229533054
14,"anthony,joel",mia,C,80,1318,76,159,0,0,66,92,123,249,12,20,45,109,158,1,218,0,0,0,False,2.546875,2.2625,4.809375,0.4779874213836478,0.573170731707317,True,East,9.222053067500317
15,"arenas,gilbert",was,PG,32,1167,253,616,63,181,153,207,17,133,230,41,117,9,95,2,722,3,0,0,False,15.2265625,4.0234375,20.234375,0.4107142857142857,0.3170731707317073,False,East,7.68380695554052
16,"ariza,trevor",hou,SF,72,2631,394,999,136,407,148,228,78,403,276,127,161,40,162,0,1072,2,0,0,False,8.98263888888889,6.149305555555555,16.07638888888889,0.3943943943943944,0.5121951219512195,False,West,9.519207434713962
17,"armstrong,hilton",sac,C,33,336,28,79,0,1,15,32,27,81,21,15,22,12,59,1,71,0,0,0,False,1.128787878787879,1.6742424242424243,2.803030303030303,0.35443037974683544,0.3048780487804878,False,West,8.14141820845484
18,"arroyo,carlos",mia,PG,72,1582,178,375,7,25,76,90,26,130,225,36,54,6,102,0,439,0,0,0,False,6.59375,1.4444444444444444,8.086805555555555,0.4746666666666667,0.573170731707317,True,East,9.222053067500317
19,"artest,ron",lal,SF,77,2606,306,740,105,296,128,186,99,331,234,107,121,21,165,1,845,6,0,0,False,8.003246753246753,3.9512987012987013,12.636363636363637,0.4135135135135135,0.6951219512195121,True,West,10.222520232914565
20,"arthur,darrell",mem,PF,32,455,63,146,0,1,17,30,37,110,15,14,22,14,60,0,143,1,0,0,False,2.5234375,2.328125,4.8515625,0.4315068493150685,0.4878048780487805,False,West,8.752142423596778
21,"atkins,chucky",det,PG,40,642,57,157,22,73,25,27,5,29,91,17,32,0,53,1,161,0,0,0,False,3.46875,0.46875,4.2125,0.3630573248407643,0.32926829268292684,False,East,9.220734989664582
22,"augustin,d.j.",cha,PG,80,1472,168,435,70,178,102,131,11,97,193,45,74,5,127,0,508,0,0,0,False,4.828125,1.046875,6.3125,0.38620689655172413,0.5365853658536586,True,East,9.030311559136845
23,"azubuike,kelenna",gsw,SF,9,231,48,88,10,27,19,28,12,41,10,5,7,9,16,0,125,1,0,0,False,10.583333333333334,4.027777777777778,15.166666666666666,0.5454545454545454,0.3170731707317073,False,West,12.137724474226943
24,"balkman,renaldo",den,PF,13,91,6,18,0,7,2,6,4,23,7,8,6,2,16,0,14,0,0,0,False,0.40384615384615385,1.7692307692307692,2.173076923076923,0.3333333333333333,0.6463414634146342,True,West,10.781701229533054
