,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"antic,pero",atl,PF,50,928,123,294,56,171,50,66,57,209,59,19,55,12,126,0,352,2,0,0,False,4.66,2.495,7.715,0.41836734693877553,0.4634146341463415,True,East,10.269853240023513
1,"ayon,gustavo",atl,PF,26,429,52,102,0,0,8,20,42,125,28,25,29,10,47,0,112,0,0,0,False,3.7211538461538463,3.875,7.596153846153846,0.5098039215686274,0.4634146341463415,True,East,10.269853240023513
2,"brand,elton",atl,PF,73,1416,179,332,0,2,61,94,97,361,74,40,60,88,192,0,419,1,0,0,False,4.972602739726027,4.191780821917808,9.164383561643836,0.5391566265060241,0.4634146341463415,True,East,10.269853240023513
3,"carroll,demarre",atl,SF,73,2343,302,642,97,268,109,141,107,403,135,108,79,21,188,0,810,3,0,0,False,8.602739726027398,4.904109589041096,14.17123287671233,0.470404984423676,0.4634146341463415,True,East,10.269853240023513
4,"horford,al",atl,PF,29,960,238,420,4,11,58,85,66,244,75,27,64,44,56,0,538,1,0,0,False,14.525862068965518,7.853448275862069,22.448275862068964,0.5666666666666667,0.4634146341463415,True,East,10.269853240023513
5,"jenkins,john",atl,SG,13,157,16,42,4,18,4,4,3,22,11,1,11,1,11,0,40,0,0,0,False,1.3076923076923077,1.2115384615384615,2.673076923076923,0.38095238095238093,0.4634146341463415,True,East,10.269853240023513
6,"korver,kyle",atl,SG,71,2413,289,609,185,392,87,94,22,282,208,69,102,24,147,0,850,0,0,0,False,9.591549295774648,4.179577464788732,15.07394366197183,0.4745484400656814,0.4634146341463415,True,East,10.269853240023513
7,"mack,shelvin",atl,PG,73,1494,209,501,62,184,64,74,21,160,271,50,90,2,100,1,544,0,0,0,False,6.77054794520548,2.1027397260273974,9.297945205479452,0.4171656686626746,0.4634146341463415,True,East,10.269853240023513
8,"millsap,paul",atl,PF,74,2481,483,1047,76,212,286,391,154,627,232,129,185,78,210,3,1328,1,0,0,False,12.47635135135135,8.20608108108108,21.195945945945947,0.46131805157593125,0.4634146341463415,True,East,10.269853240023513
9,"muscala,mike",atl,C,20,215,31,73,0,3,14,14,17,52,7,3,12,10,29,0,76,0,0,0,False,2.2375,1.7125,3.95,0.4246575342465753,0.4634146341463415,True,East,10.269853240023513
10,"pittman,dexter",atl,C,2,3,0,1,0,0,0,2,3,3,0,0,0,0,0,0,0,0,0,0,False,0.5,0.0,0.5,0.0,0.4634146341463415,True,East,10.269853240023513
11,"schroder,dennis",atl,PG,49,641,72,188,10,42,29,43,5,60,93,17,61,0,54,0,183,0,0,0,False,2.142857142857143,1.0051020408163265,3.25,0.3829787234042553,0.4634146341463415,True,East,10.269853240023513
12,"scott,mike",atl,SF,80,1484,301,628,62,200,103,132,62,284,75,30,79,7,121,0,767,0,0,0,False,6.03125,2.575,8.99375,0.47929936305732485,0.4634146341463415,True,East,10.269853240023513
13,"teague,jeff",atl,PG,79,2546,456,1040,74,225,318,376,34,208,526,89,231,17,158,0,1304,2,0,0,False,13.819620253164556,2.8259493670886076,17.11392405063291,0.43846153846153846,0.4634146341463415,True,East,10.269853240023513
