,Player,Team,PS,GP,Min,FGM,FGA,3M,3A,FTM,FTA,OR,TR,AS,ST,TO,BK,PF,DQ,PTS,TC,EJ,FF,MVP,OffRank,DeffRank,TND,FG%,Win%,Playoffs,Conference,Team TND
0,"abdur-rahim,shar",por,PF,54,1867,337,670,15,39,220,254,123,392,111,49,117,26,150,3,909,10,1,0,False,12.305555555555555,5.208333333333333,17.65277777777778,0.5029850746268657,0.32926829268292684,False,West,8.781180876910591
1,"alexander,cory",cha,SG,16,201,16,49,8,19,9,12,8,29,37,9,19,1,29,0,49,0,0,0,False,2.8125,1.171875,4.234375,0.32653061224489793,0.21951219512195122,False,East,7.807162735097762
2,"allen,malik",cha,PF,36,519,84,177,0,0,26,28,40,99,18,9,18,22,53,0,194,1,0,0,False,3.861111111111111,1.8263888888888888,5.6875,0.4745762711864407,0.21951219512195122,False,East,7.807162735097762
3,"allen,ray",okl,SG,78,3068,640,1494,209,556,378,428,79,347,289,84,171,5,167,2,1867,3,0,0,False,15.532051282051283,3.7756410256410255,20.647435897435898,0.428380187416332,0.6341463414634146,True,West,8.173763672597454
4,"allen,tony",bos,SG,77,1263,184,387,12,31,112,152,85,221,64,76,77,24,156,2,492,0,0,0,False,4.386363636363637,2.2987012987012987,6.762987012987013,0.4754521963824289,0.5487804878048781,True,East,10.292787410012334
5,"alston,rafer",tor,PG,80,2717,403,974,139,389,191,258,42,279,514,118,170,7,212,0,1136,4,0,0,False,12.49375,3.56875,16.93125,0.4137577002053388,0.4024390243902439,False,East,9.17890518481259
6,"andersen,chris",nor,PF,67,1430,191,358,0,3,131,190,137,410,71,14,64,100,144,0,513,0,0,0,False,6.899253731343284,4.753731343283582,11.652985074626866,0.5335195530726257,0.21951219512195122,False,West,7.256755067323303
7,"anderson,derek",por,SG,47,1236,152,391,58,151,70,87,25,128,143,36,70,4,89,0,432,0,0,1,False,6.398936170212766,2.24468085106383,9.26063829787234,0.3887468030690537,0.32926829268292684,False,West,8.781180876910591
8,"anderson,kenny",cli,PG,43,743,85,201,6,13,27,37,24,88,103,33,49,0,87,1,203,4,0,0,False,3.941860465116279,1.436046511627907,5.4476744186046515,0.4228855721393035,,,,
9,"anderson,shandon",mia,SG,66,1171,98,217,5,29,54,66,41,191,70,40,50,14,138,1,255,1,0,0,False,2.9545454545454546,2.196969696969697,5.1893939393939394,0.45161290322580644,0.7195121951219512,True,East,9.479226650670673
10,"anthony,carmelo",den,SF,75,2608,530,1230,42,158,456,573,141,426,194,68,224,30,229,1,1558,5,0,1,False,11.973333333333333,3.78,16.033333333333335,0.43089430894308944,0.5975609756097561,True,West,9.588813883302665
11,"araujo,rafael",tor,C,59,741,76,175,1,3,43,55,59,185,16,21,52,8,157,0,196,2,0,0,False,1.7457627118644068,1.3855932203389831,3.139830508474576,0.4342857142857143,0.4024390243902439,False,East,9.17890518481259
12,"arenas,gilbert",was,PG,80,3274,656,1523,205,562,521,640,83,378,411,139,242,23,245,1,2038,8,1,0,False,17.471875,4.615625,23.36875,0.4307288246881156,0.5487804878048781,True,East,8.756008864466414
13,"ariza,trevor",nyk,SF,80,1382,172,389,3,13,121,174,89,242,85,70,73,18,150,0,468,0,0,0,False,4.10625,2.29375,6.41875,0.442159383033419,0.4024390243902439,False,East,8.186541428739982
14,"armstrong,darrel",dal,PG,66,988,89,277,28,111,58,68,35,115,178,45,67,8,92,2,264,1,0,0,False,3.6931818181818183,1.4886363636363635,5.393939393939394,0.3212996389891697,0.7073170731707317,True,West,9.981314776743854
15,"arroyo,carlos",det,PG,70,1448,167,429,8,30,119,149,26,104,280,44,107,4,143,0,461,2,0,0,False,6.060714285714286,0.9357142857142857,7.053571428571429,0.38927738927738925,0.6585365853658537,True,East,8.356332431082173
16,"artest,ron",ind,SF,7,291,59,119,7,17,47,51,8,45,22,12,17,6,27,0,172,0,0,1,False,17.75,6.071428571428571,24.321428571428573,0.4957983193277311,0.5365853658536586,True,East,8.64464805255806
17,"atkins,chucky",lal,PG,82,2903,388,910,176,455,163,203,31,197,358,73,151,2,181,0,1115,4,0,0,False,10.472560975609756,2.057926829268293,13.603658536585366,0.42637362637362636,0.4146341463414634,False,West,9.021067699947361
18,"augmon,stacey",orl,SF,55,663,68,167,0,0,57,77,45,99,36,23,31,8,83,0,193,1,0,3,False,2.440909090909091,0.7863636363636364,3.227272727272727,0.40718562874251496,0.43902439024390244,False,East,8.079142189077883
19,"baker,maurice",por,PG,5,19,0,1,0,0,0,0,1,2,1,1,1,0,3,0,0,0,0,0,False,0.0,0.15,0.15,0.0,0.32926829268292684,False,West,8.781180876910591
20,"baker,vin",hou,PF,27,204,13,42,0,1,9,17,17,39,10,2,17,4,38,0,35,0,0,0,False,0.37962962962962965,0.35185185185185186,0.7314814814814815,0.30952380952380953,0.6219512195121951,True,West,7.9751154433286535
21,"banks,marcus",bos,PG,81,1145,115,286,21,59,121,163,29,126,155,63,79,13,146,2,372,0,0,0,False,3.753086419753086,1.4290123456790123,5.311728395061729,0.4020979020979021,0.5487804878048781,True,East,10.292787410012334
22,"barbosa,leandro",pho,PG,63,1088,168,354,51,139,55,69,32,130,126,30,87,7,127,0,442,0,0,0,False,5.234126984126984,1.253968253968254,6.892857142857143,0.4745762711864407,0.7560975609756098,True,West,10.494850115134131
23,"barnes,matt",sac,SF,43,716,62,151,5,22,35,58,49,133,57,30,45,7,80,0,164,1,0,0,False,2.941860465116279,2.058139534883721,5.058139534883721,0.4105960264900662,0.6097560975609756,True,West,10.285962076286264
24,"barrett,andre",orl,PG,38,483,45,124,14,52,14,19,11,40,69,19,27,1,51,0,118,0,0,0,False,2.6315789473684212,0.743421052631579,3.5592105263157894,0.3629032258064516,0.43902439024390244,False,East,8.079142189077883
25,"barry,brent",san,SG,81,1742,194,459,100,280,113,135,29,190,178,39,64,20,123,0,601,0,0,0,False,6.12962962962963,2.0771604938271606,8.824074074074074,0.4226579520697168,0.7195121951219512,True,West,8.862864212339591
26,"barry,jon",hou,SG,69,1505,161,368,71,165,62,71,26,159,167,60,67,9,95,0,455,5,0,0,False,5.644927536231884,2.4565217391304346,8.615942028985508,0.4375,0.6219512195121951,True,West,7.9751154433286535
