,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,44,38,19870,3084,6644,706,1901,1158,1619,758,3351,2007,664,1169,369,1473,8032,29,0,True,East,9.373592651462864
1,BostonCeltics,bos,41,40,19845,3001,6459,498,1390,1318,1698,654,3187,1843,668,1125,365,1717,7818,23,0,True,East,8.969970641308294
2,CharlotteBobcats,cha,21,61,19817,2823,6649,469,1399,1546,2060,917,3300,1587,591,1074,479,1562,7661,21,0,False,East,7.687773397807983
3,ChicagoBulls,chi,45,37,19847,2926,6698,446,1265,1343,1738,1026,3539,1886,588,1120,417,1617,7641,42,0,True,East,9.053863125412617
4,ClevelandCavaliers,cle,24,58,19730,2993,6901,547,1581,1380,1827,1004,3362,1694,647,1099,334,1737,7913,16,0,False,East,9.336726174747836
5,DallasMavericks,dal,41,41,20001,3182,6892,606,1628,1323,1669,767,3434,1906,651,1107,450,1698,8293,32,0,False,West,7.22414437974375
6,DenverNuggets,den,57,25,19930,3339,6983,521,1518,1505,2148,1092,3693,2002,763,1205,533,1682,8704,19,0,True,West,9.964874605759482
7,DetroitPistons,det,29,53,19817,2979,6638,513,1440,1307,1870,990,3453,1742,574,1194,400,1623,7778,16,0,False,East,9.268277409977985
8,GSWarriors,gsw,47,35,19849,3130,6840,658,1631,1378,1744,884,3685,1845,568,1209,345,1753,8296,20,0,True,West,10.02844115487407
9,HoustonRockets,hou,45,37,19778,3124,6782,867,2369,1573,2087,911,3562,1902,678,1298,359,1662,8688,12,0,True,West,9.317289391862287
10,IndianaPacers,ind,49,32,19601,2845,6525,555,1599,1429,1915,1042,3713,1645,580,1177,515,1623,7674,45,0,True,East,7.941965146521223
11,LAClippers,lac,56,26,19731,3160,6609,627,1752,1342,1888,939,3413,1958,784,1132,460,1716,8289,66,0,True,West,9.273512256029685
12,LALakers,lal,45,37,19759,3041,6639,715,2015,1584,2289,941,3673,1818,576,1201,429,1467,8381,42,0,True,West,9.715671991668788
13,MemphisGrizzlies,mem,56,26,19802,2964,6677,382,1108,1349,1746,1058,3504,1715,702,1081,437,1660,7659,31,0,True,West,7.868330521171653
14,MiamiHeat,mia,66,16,19884,3148,6348,717,1809,1423,1887,676,3166,1890,710,1088,441,1533,8436,26,0,True,East,9.155206533393118
15,MilwaukeeBucks,mil,38,44,19836,3128,7197,601,1671,1251,1700,1068,3605,1876,685,1117,549,1554,8108,31,0,True,East,9.504776776471017
16,MinnesotaT-wolves,min,31,51,19743,2943,6702,450,1476,1515,2042,972,3447,1835,700,1159,389,1509,7851,30,0,False,West,9.434367679032263
17,BrooklynNets,bro,49,33,19878,2942,6546,628,1760,1432,1958,1048,3508,1668,599,1140,391,1500,7944,23,0,True,East,7.372905509285736
18,NOrleansHornets,nor,27,55,19801,2955,6589,535,1474,1269,1636,988,3414,1721,520,1123,440,1673,7714,10,0,False,West,7.753902368454686
19,NYKnicks,nyk,54,28,19745,2996,6688,891,2370,1313,1729,890,3325,1579,672,948,294,1649,8196,52,0,True,East,9.114170397767776
20,OrlandoMagic,orl,20,62,19785,3093,6903,506,1536,1026,1359,889,3501,1871,528,1147,358,1591,7718,22,0,False,East,8.990122896788058
21,Philadelphia76ers,phi,34,48,19774,3059,6896,518,1438,1004,1377,897,3391,1867,608,1029,383,1505,7640,20,0,False,East,9.049519275090113
22,PhoenixSuns,pho,25,57,19820,3061,6916,480,1455,1203,1618,959,3413,1855,659,1226,434,1688,7805,45,0,False,West,8.591637200743854
23,PortlandTrailBlazers,por,33,49,19848,3009,6715,673,1904,1304,1680,874,3348,1784,538,1165,353,1518,7995,16,0,False,West,8.428839113547205
24,SacramentoKings,sac,28,54,19845,3086,6905,610,1682,1437,1869,944,3329,1708,670,1153,342,1717,8219,41,0,False,West,9.045044577046296
25,SanAntonioSpurs,san,58,24,19894,3210,6675,663,1766,1365,1725,667,3387,2058,695,1159,445,1427,8448,15,0,True,West,10.413678534832565
26,OklahomaCityThunder,okl,60,22,19849,3126,6504,598,1588,1819,2196,854,3578,1753,679,1200,624,1654,8669,63,0,True,West,10.217112270408276
27,TorontoRaptors,tor,34,48,19984,2979,6685,571,1665,1442,1831,871,3297,1765,595,1084,392,1836,7971,36,0,False,East,8.772004257687824
28,UtahJazz,uta,43,39,19883,3047,6710,507,1385,1439,1883,989,3446,1860,690,1165,514,1750,8040,25,0,False,West,9.475166516805716
29,WashingtonWizards,was,29,53,19876,2910,6693,545,1495,1279,1746,887,3539,1775,598,1199,376,1681,7644,22,0,False,East,9.332385521587389
