,team,key,won,los,t min,fgm,fga,3m,3a,ftm,fta,or,tr,as,st,to,bk,pf,pts,tc,ej,Playoffs,Conference,Avg. TND
0,AtlantaHawks,atl,33,49,19780,2901,6610,423,1194,1486,1942,955,3400,1656,667,1203,350,1702,7711,26,2,False,East,8.13245389610163
1,BostonCeltics,bos,49,33,19830,2852,6731,699,1946,1498,1960,891,3461,1722,793,1082,293,1775,7901,42,3,True,East,9.012023006598469
2,CharlotteHornets,cha,44,38,19755,2893,6580,346,994,1568,2105,1059,3564,1759,653,1108,456,1747,7700,49,6,True,East,9.1413579914785
3,ChicagoBulls,chi,21,61,19805,2811,6491,300,868,1413,1958,924,3283,1817,633,1169,361,1834,7335,38,3,False,East,7.937228784940544
4,ClevelandCavaliers,cle,29,53,19855,2948,6582,387,1026,1529,1980,968,3451,1891,572,1129,470,1752,7812,24,1,False,East,8.916224425007345
5,DallasMavericks,dal,57,25,19880,3200,6930,621,1645,1608,1994,918,3486,1811,581,958,386,1841,8629,47,1,True,West,9.62675701559448
6,DenverNuggets,den,27,55,19805,2915,6870,423,1285,1306,1756,1117,3427,1817,613,1130,462,1871,7559,45,4,False,West,7.9329730978248865
7,DetroitPistons,det,50,32,19680,2846,6301,568,1510,1478,1954,810,3176,1765,648,1135,565,1695,7738,50,4,True,East,8.43123691110947
8,GSWarriors,gsw,21,61,19780,2998,6989,320,994,1693,2344,1334,3827,1706,650,1325,523,1884,8009,50,5,False,West,9.200671667683729
9,HoustonRockets,hou,28,54,19980,2837,6629,496,1480,1402,1893,1025,3436,1482,537,1074,445,1476,7572,41,4,False,West,9.331772693421593
10,IndianaPacers,ind,42,40,19905,2935,6580,405,1195,1663,2155,930,3498,1884,658,1191,436,1876,7938,60,5,True,East,9.490261264173471
11,LAClippers,lac,39,43,19806,2970,6668,408,1147,1498,2026,1083,3557,1714,510,1150,540,1625,7846,33,1,False,West,8.710625159486785
12,LALakers,lal,58,24,19780,3150,6839,510,1439,1494,2138,1022,3629,1882,625,995,478,1823,8304,50,7,True,West,9.62685752966587
13,MiamiHeat,mia,36,46,19930,2801,6382,312,899,1236,1708,902,3446,1664,547,1153,448,1846,7150,43,1,False,East,7.39609036398722
14,MilwaukeeBucks,mil,41,41,19905,3041,6577,593,1583,1321,1767,841,3398,1847,596,1112,388,1788,7996,57,5,False,East,9.89781572731925
15,MinnesotaT-wolves,min,50,32,19805,3175,6887,396,1047,1399,1754,1059,3621,1993,524,1069,427,1739,8145,27,4,True,West,9.305868830608159
16,NJNets,bro,52,30,19830,3042,6816,403,1194,1402,1907,1039,3554,1990,716,1169,490,1734,7889,24,2,True,East,8.689544186061417
17,NYKnicks,nyk,30,52,19805,2817,6520,474,1344,1406,1786,876,3334,1720,558,1155,288,1800,7514,27,3,False,East,8.646400565583932
18,OrlandoMagic,orl,44,38,19830,3087,6893,620,1660,1446,1917,942,3382,1804,665,1085,384,1700,8240,23,2,True,East,9.000226555424035
19,Philadelphia76ers,phi,43,39,19730,2804,6436,214,715,1639,2104,1092,3626,1638,705,1176,363,1646,7461,48,6,True,East,7.325344435852228
20,PhoenixSuns,pho,36,46,19830,3097,6934,358,1096,1250,1630,1073,3501,1837,668,1167,400,1784,7802,26,0,False,West,7.940638059850837
21,PortlandTrailBlazers,por,49,33,19830,3004,6671,466,1318,1451,1901,1085,3529,1926,702,1117,368,1613,7925,86,9,True,West,8.85249964191386
22,SacramentoKings,sac,61,21,19755,3267,7003,426,1160,1618,2154,1013,3715,1958,741,1095,375,1560,8578,41,2,True,West,10.932068506122203
23,SanAntonioSpurs,san,58,24,19855,2913,6363,438,1211,1668,2249,907,3473,1643,625,1133,537,1575,7932,29,3,True,West,8.454361642608214
24,SeattleSupersonics,okl,45,37,19830,3131,6681,489,1292,1263,1672,968,3301,1926,698,1085,364,1732,8014,32,1,True,West,9.261616336609494
25,TorontoRaptors,tor,42,40,19755,2919,6727,387,1109,1269,1717,1114,3450,1779,688,1109,454,1771,7494,36,0,True,East,8.444719478544995
26,UtahJazz,uta,44,38,19830,2869,6374,280,842,1853,2430,1109,3458,1999,749,1290,523,1971,7871,36,2,True,West,9.318702179204141
27,MemphisGrizzlies,mem,23,59,19780,2851,6535,336,1096,1334,1883,984,3397,1785,646,1290,488,1571,7372,31,3,False,West,8.40752611480246
28,WashingtonWizards,was,37,45,19730,2938,6664,305,786,1428,1866,1055,3448,1715,570,999,354,1763,7609,16,2,False,East,9.371986056996747
